uid,orig_commodity,orig_first_period,orig_last_period,orig_status,n_steps_in_chain,journey,family_id,latest_commodity,final_status
IMR_0429,"3006.20.90.00 - Blood-grouping reagents, except of human or animal origin (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3006.20.90.00 -> 3006.20.00.90,IM_0213,"3006.20.00.90 - Blood-grouping reagents, other than of animal origin, nes (Terminated 2021-12)",ended_2021-12
IMR_0430,3006.30.00.10 - Opacifying preparations for X-ray examinations,1998-01-01,2001-12-01,ended_2001-12,1,3006.30.00.10,IM_0216,"3006.30.00.10 - Opacifying, preparations for X-ray examinations",active
IMR_0431,"3006.30.00.10 - Opacifying, preparations for X-ray examinations",2002-01-01,2025-12-01,active,1,3006.30.00.10,IM_0216,"3006.30.00.10 - Opacifying, preparations for X-ray examinations",active
IMR_0432,3006.30.00.20 - Allergenics prepared for parenteral administration (Terminated 2011-12),1998-01-01,2001-12-01,ended_2001-12,1,3006.30.00.20,IM_0217,"3006.30.00.90 - Diagnostic reagents, designed to be administered to the patient, nes",active
IMR_0433,"3006.30.00.20 - Allergenics, prepared for parenteral administration (Terminated 2011-12)",2002-01-01,2011-12-01,ended_2011-12,1,3006.30.00.20,IM_0217,"3006.30.00.90 - Diagnostic reagents, designed to be administered to the patient, nes",active
IMR_0434,"3006.30.00.90 - Diagnostic reagents designed to be administered to the patient, nes",1998-01-01,2001-12-01,ended_2001-12,1,3006.30.00.90,IM_0217,"3006.30.00.90 - Diagnostic reagents, designed to be administered to the patient, nes",active
IMR_0435,"3006.30.00.90 - Diagnostic reagents, designed to be administered to the patient, nes",2002-01-01,2025-12-01,active,1,3006.30.00.90,IM_0217,"3006.30.00.90 - Diagnostic reagents, designed to be administered to the patient, nes",active
IMR_0436,3006.30.10.00 - Opacifying preparations for X-ray examinations (Terminated 1997-12),1988-01-01,1997-12-01,ended_1997-12,2,3006.30.10.00 -> 3006.30.00.10,IM_0216,"3006.30.00.10 - Opacifying, preparations for X-ray examinations",active
IMR_0437,3006.30.91.00 - Allergenics prepared for parenteral administration (Terminated 1997-12),1988-01-01,1997-12-01,ended_1997-12,2,3006.30.91.00 -> 3006.30.00.20,IM_0217,"3006.30.00.90 - Diagnostic reagents, designed to be administered to the patient, nes",active
IMR_0438,"3006.30.99.00 - Diagnostic reagents designed to be administered to the patient, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3006.30.99.00 -> 3006.30.00.90,IM_0217,"3006.30.00.90 - Diagnostic reagents, designed to be administered to the patient, nes",active
IMR_0439,3006.40.00.10 - Dental cements and bone reconstruction cements,1998-01-01,2025-12-01,active,1,3006.40.00.10,IM_0219,3006.40.00.10 - Dental cements and bone reconstruction cements,active
IMR_0440,3006.40.00.20 - Points for filling dental root canals (Terminated 2011-12),1998-01-01,2001-12-01,ended_2001-12,1,3006.40.00.20,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0441,"3006.40.00.20 - Points, for filling dental root canals (Terminated 2011-12)",2002-01-01,2011-12-01,ended_2011-12,1,3006.40.00.20,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0442,"3006.40.00.30 - Dental fillings of composition metals, except those in powder or pellet form (Terminated 2011-12)",1998-01-01,2011-12-01,ended_2011-12,2,3006.40.00.30 -> 3006.40.00.90,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0443,"3006.40.00.90 - Dental fillings, nes",1998-01-01,2011-12-01,ended_2011-12,1,3006.40.00.90,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0444,"3006.40.00.90 - Other dental fillings, nes",2012-01-01,2025-12-01,active,1,3006.40.00.90,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0445,3006.40.10.10 - Dental cements and bone reconstruction cements (Terminated 1997-12),1988-01-01,1997-12-01,ended_1997-12,2,3006.40.10.10 -> 3006.40.00.10,IM_0219,3006.40.00.10 - Dental cements and bone reconstruction cements,active
IMR_0446,3006.40.10.20 - Points for filling dental root canals (Terminated 1997-12),1988-01-01,1997-12-01,ended_1997-12,2,3006.40.10.20 -> 3006.40.00.20,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0447,"3006.40.20.00 - Dental fillings of composition metals, except those in powder or pellet form (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,3,3006.40.20.00 -> 3006.40.00.30 -> 3006.40.00.90,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0448,"3006.40.90.00 - Dental fillings, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3006.40.90.00 -> 3006.40.00.90,IM_0220,"3006.40.00.90 - Other dental fillings, nes",active
IMR_0449,3006.50.00.00 - First-aid boxes and kits,1988-01-01,2025-12-01,active,1,3006.50.00.00,IM_0223,3006.50.00.00 - First-aid boxes and kits,active
IMR_0450,"3006.60.00.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",2017-01-01,2025-12-01,active,1,3006.60.00.00,IM_0224,"3006.60.00.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",active
IMR_0451,"3006.60.00.10 - Chem contraceptive prep,based on horm,o prod of 29.37/spermicides,in dosage,nes (Terminated 2016-12)",2012-01-01,2016-12-01,ended_2016-12,2,3006.60.00.10 -> 3006.60.00.00,IM_0224,"3006.60.00.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",active
