retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,rank,candidate,candidate_description,similarity_score,vetoed_by,record_overruled_gate,review_flag,same_content_words
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",4,3002100049,"Blood albumin nes, of animal origin, for parenteral administration in humans",0.5191,origin,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",5,3002100051,"Blood fractions, nes, for use in humans",0.5106,,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",6,3002100059,"Blood fractions, nes",0.5000,,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",7,3002100042,"Sera and antisera, of animal origin, for parenteral administration in humans",0.4885,origin,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",8,3002100090,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",0.4706,continuity,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",9,3002100022,"Normal serum globulin, for therapeutic or prophylactic use in humans",0.3871,,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",10,3002100023,"Immune serum globulin, for therapeutic or prophylactic use in humans",0.3871,,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",11,3002100021,"Blood plasma, for therapeutic or prophylactic use in humans",0.3478,,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",12,3002100041,"Bovine albumin, for parenteral administration in humans",0.3063,,,,no
3002101090,1,imports,199712,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",13,3002100060,Modified immunological products,0.2045,continuity,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",1,3002100041,"Bovine albumin, for parenteral administration in humans",1.0000,,,,yes
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",2,3002100049,"Blood albumin nes, of animal origin, for parenteral administration in humans",0.7812,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",3,3002100042,"Sera and antisera, of animal origin, for parenteral administration in humans",0.7188,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",4,3002100023,"Immune serum globulin, for therapeutic or prophylactic use in humans",0.5124,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",5,3002100021,"Blood plasma, for therapeutic or prophylactic use in humans",0.4821,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",6,3002100022,"Normal serum globulin, for therapeutic or prophylactic use in humans",0.4793,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",7,3002100051,"Blood fractions, nes, for use in humans",0.4615,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",8,3002100010,"Antisera & o blood fractions, human origin, for diagnostic use",0.3929,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",9,3002100030,"Antisera & o blood fractions, of human origin, for other uses",0.3604,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",10,3002100059,"Blood fractions, nes",0.3562,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",11,3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",0.3538,,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",12,3002100090,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",0.2556,continuity,,,no
3002102110,1,imports,199712,27900542.00,"Bovine albumin, for parenteral administration in humans",13,3002100060,Modified immunological products,0.2353,continuity,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",1,3002100042,"Sera and antisera, of animal origin, for parenteral administration in humans",1.0000,,,,yes
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",2,3002100049,"Blood albumin nes, of animal origin, for parenteral administration in humans",0.8378,,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",3,3002100041,"Bovine albumin, for parenteral administration in humans",0.7188,,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",4,3002100010,"Antisera & o blood fractions, human origin, for diagnostic use",0.5152,origin,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",5,3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",0.4933,origin,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",6,3002100030,"Antisera & o blood fractions, of human origin, for other uses",0.4885,origin,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",7,3002100022,"Normal serum globulin, for therapeutic or prophylactic use in humans",0.4255,,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",8,3002100023,"Immune serum globulin, for therapeutic or prophylactic use in humans",0.4255,,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",9,3002100021,"Blood plasma, for therapeutic or prophylactic use in humans",0.4242,,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",10,3002100051,"Blood fractions, nes, for use in humans",0.3964,,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",11,3002100090,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",0.3399,continuity,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",12,3002100060,Modified immunological products,0.2095,continuity,,,no
3002102120,1,imports,199712,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",13,3002100059,"Blood fractions, nes",0.1935,,,,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",1,3002100049,"Blood albumin nes, of animal origin, for parenteral administration in humans",1.0000,,,,yes
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",2,3002100042,"Sera and antisera, of animal origin, for parenteral administration in humans",0.8378,,,swapped term,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",3,3002100041,"Bovine albumin, for parenteral administration in humans",0.7812,,,swapped term,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",4,3002100051,"Blood fractions, nes, for use in humans",0.5225,,,,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",5,3002100030,"Antisera & o blood fractions, of human origin, for other uses",0.5191,origin,,,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",6,3002100021,"Blood plasma, for therapeutic or prophylactic use in humans",0.4848,,,,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",7,3002100010,"Antisera & o blood fractions, human origin, for diagnostic use",0.4697,origin,,,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",8,3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",0.4533,origin,,,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",9,3002100022,"Normal serum globulin, for therapeutic or prophylactic use in humans",0.4255,,,,no
3002102190,1,imports,199712,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",10,3002100023,"Immune serum globulin, for therapeutic or prophylactic use in humans",0.4113,,,,no
