span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
imports:3002.90.00.20:2022-01,imports,3002.90.00.20,"Toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",202201,202606,58562872,1,0,0,3002.90.00.20,3002.90.00.20,"Toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",202201,202606,active
imports:3002.90.00.30:1998-02,imports,3002.90.00.30,Dried blood of animal origin,199802,202606,11502070,1,0,0,3002.90.00.30,3002.90.00.30,Dried blood of animal origin,199802,202606,active
imports:3002.90.00.40:2017-01,imports,3002.90.00.40,Whole human blood,201701,202606,38243147,1,0,0,3002.90.00.40,3002.90.00.40,Whole human blood,201701,202606,active
imports:3002.90.00.50:2017-01,imports,3002.90.00.50,Micro-organisms cultures,201701,202112,257772832,2,1,0,3002.90.00.50 -> 3002.49.00.10,3002.49.00.10,"Cultures, of micro-organisms (excluding yeasts) and similar products",202201,202606,active
imports:3002.90.00.90:2017-01,imports,3002.90.00.90,"Human blood;animal blood for therap/prophltc/diagnostic uses;toxins,sim prod,nes",201701,202112,1318018738,1,0,1,3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.00.90:2022-01,imports,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,1408359842,1,0,0,3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.00.91:1998-01,imports,3002.90.00.91,Bacteria culture inoculants for seeds,199801,200112,29476563,2,1,2,3002.90.00.91 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.00.91:2002-01,imports,3002.90.00.91,"Bacteria culture inoculants, for seeds",200201,201612,125889873,2,1,1,3002.90.00.91 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.00.92:1998-01,imports,3002.90.00.92,Whole human blood,199801,201612,15524973,2,1,0,3002.90.00.92 -> 3002.90.00.40,3002.90.00.40,Whole human blood,201701,202606,active
imports:3002.90.00.93:1998-02,imports,3002.90.00.93,Antiallergenic preparations of microbial origin,199802,201612,1530127,2,1,1,3002.90.00.93 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.00.99:1998-01,imports,3002.90.00.99,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",199801,201112,326394960,2,1,2,3002.90.00.99 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.00.99:2012-01,imports,3002.90.00.99,"Human blood;anml blood therap/prophltc/diag uses;toxins,micro-organisms cult,nes",201201,201612,358730842,2,1,1,3002.90.00.99 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.10.10:1988-01,imports,3002.90.10.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",198801,199612,17090674,4,3,0,3002.90.10.10 -> 3002.90.00.19 -> 3002.90.00.10 -> 3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.90.10.11:1997-01,imports,3002.90.10.11,Ricin,199701,199712,33472,4,3,0,3002.90.10.11 -> 3002.90.00.11 -> 3002.90.00.10 -> 3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.90.10.19:1997-01,imports,3002.90.10.19,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",199701,199712,6387863,4,3,0,3002.90.10.19 -> 3002.90.00.19 -> 3002.90.00.10 -> 3002.49.00.20,3002.49.00.20,Toxins and similar products,202201,202606,active
imports:3002.90.10.20:1988-01,imports,3002.90.10.20,Ferment cultures,198801,199712,17995840,3,2,1,3002.90.10.20 -> 3002.90.00.20 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.10.30:1988-01,imports,3002.90.10.30,Dried blood of human origin,198801,199712,5096986,3,2,2,3002.90.10.30 -> 3002.90.00.99 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.10.40:1988-01,imports,3002.90.10.40,Dried blood of animal origin,198801,199712,2070092,2,1,0,3002.90.10.40 -> 3002.90.00.30,3002.90.00.30,Dried blood of animal origin,199802,202606,active
imports:3002.90.90.10:1988-01,imports,3002.90.90.10,Bacteria culture inoculants for seeds,198801,199712,30779871,3,2,2,3002.90.90.10 -> 3002.90.00.91 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.90.20:1991-04,imports,3002.90.90.20,Whole human blood,199104,199706,1607419,3,2,0,3002.90.90.20 -> 3002.90.00.92 -> 3002.90.00.40,3002.90.00.40,Whole human blood,201701,202606,active
imports:3002.90.90.30:1990-04,imports,3002.90.90.30,Antiallergenic preparations of microbial origin,199004,199709,96578,3,2,1,3002.90.90.30 -> 3002.90.00.93 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.90.90.90:1988-01,imports,3002.90.90.90,"Human blood, animal blood for therap, prophltc or diag uses, microbial prep, nes",198801,199712,69506433,3,2,2,3002.90.90.90 -> 3002.90.00.99 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3003.10.00.00:1988-01,imports,3003.10.00.00,"Penicillins or streptomycins & their derivatives, formulated, in bulk",198801,200112,3446348,1,0,1,3003.10.00.00,3003.10.00.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200201,202606,active
imports:3003.10.00.00:2002-01,imports,3003.10.00.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200201,202606,14725386,1,0,0,3003.10.00.00,3003.10.00.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200201,202606,active
imports:3003.20.00.00:1988-01,imports,3003.20.00.00,"Antibiotics, nes, formulated, in bulk",198801,200112,63884112,1,0,1,3003.20.00.00,3003.20.00.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,active
imports:3003.20.00.00:2002-01,imports,3003.20.00.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,2760595833,1,0,0,3003.20.00.00,3003.20.00.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,active
imports:3003.31.00.00:2012-01,imports,3003.31.00.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",201201,202603,2797436,1,0,0,3003.31.00.00,3003.31.00.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",201201,202603,not_a_retirement
imports:3003.31.00.10:1998-02,imports,3003.31.00.10,"Insulin, prepared for parenteral administration in humans, in bulk",199802,201108,77748,2,1,0,3003.31.00.10 -> 3003.31.00.00,3003.31.00.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",201201,202603,not_a_retirement
