hs_code,description,heading,subheading,first_period,last_period,months_with_trade,longest_quiet_months,source_rows,total_value_cad,stated_termination,stated_introduction,stated_termination_matches_data,stated_termination_is_this_life
3003600000,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",3003,300360,201701,202508,55,5,87,786374,,,,
3003900010,"Fractioned soya oil emulsions, prepr for parenteral admin; mx of amino acids,etc",3003,300390,199801,201112,159,1,485,8239452,201112,,yes,yes
3003900020,"Medicaments, nes, cont more than 23% of absolute ethyl alcohol by volume,in bulk",3003,300390,199801,201112,112,6,160,1506308,201112,,yes,yes
3003900030,"Medicaments containing acetaminophen, in bulk",3003,300390,201201,201612,60,0,314,57511105,,,,
3003900030,"Medicaments,cont acetaminophen,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003,300390,201701,202606,114,0,979,175882306,,,,
3003900090,"Other medicaments, formulated, in bulk, nes",3003,300390,201201,201612,60,0,4388,433963937,,,,
3003900090,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003,300390,201701,202606,114,0,8799,7487074058,,,,
3003900091,"Medicaments containing acetaminophen, in bulk",3003,300390,199801,201112,168,0,798,71952532,201112,,yes,yes
3003900099,"Medicaments nes, formulated, in bulk",3003,300390,199801,200112,48,0,2512,496132471,201112,,no,no
3003900099,"Medicaments, nes, formulated, in bulk",3003,300390,200201,201112,120,0,6514,1197982533,201112,,yes,yes
3003901000,"Fractioned soya oil emulsions, prepr for parenteral admin; mx of amino acids,etc",3003,300390,198801,199712,120,0,632,11827021,199712,,yes,yes
3003909100,"Medicaments, nes, cont more than 23% of absolute ethyl alcohol by volume,in bulk",3003,300390,198801,199712,111,4,189,621683,199712,,yes,yes
3003909900,"Medicaments, nes, formulated, in bulk",3003,300390,198801,199412,84,0,2188,158198908,199412,,yes,yes
3003909910,"Medicaments containing acetaminophen, in bulk",3003,300390,199501,199712,36,0,216,10818930,199712,,yes,yes
3003909990,"Medicaments nes, formulated, in bulk",3003,300390,199501,199712,36,0,1231,229173341,199712,,yes,yes
3004100010,"Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004,300410,201201,202606,174,0,2039,478985909,,,,
3004100011,"Penicillin G sodium for human use, in dosage",3004,300410,198801,200112,70,15,79,4842552,201112,,no,no
3004100011,"Penicillin G sodium, for human use, in dosage",3004,300410,200208,201112,68,4,94,5082133,201112,,yes,yes
3004100012,"Penicillin G procaine for human use, in dosage",3004,300410,198801,199102,5,17,6,157999,201112,,no,no
3004100012,"Penicillin V for human use, in dosage",3004,300410,199208,200105,23,27,24,435069,201112,,no,no
3004100012,"Penicillin V, for human use, in dosage",3004,300410,200304,201111,18,15,18,106985,201112,,no,yes
3004100013,"Penicillin V for human use, in dosage",3004,300410,198801,199110,29,4,31,584572,201112,,no,no
3004100013,"Amoxycillin for human use, in dosage",3004,300410,199201,200111,59,8,73,11169947,201112,,no,no
3004100013,"Amoxycillin, for human use, in dosage",3004,300410,200201,201112,66,8,117,11814032,201112,,yes,yes
3004100014,"Amoxycillin for human use, in dosage",3004,300410,198801,199112,42,4,68,9591808,199112,,yes,yes
3004100019,"Penicillins or their derivs nes, for human use, in dosage",3004,300410,198801,200112,168,0,1065,199819154,201112,,no,no
3004100019,"Penicillins or their derivatives, nes, for human use, in dosage",3004,300410,200201,201112,120,0,1090,288412775,201112,,yes,yes
3004100020,"Streptomycins or their derivs, for human use, in dosage",3004,300410,198801,200112,88,10,133,18867459,201112,,no,no
3004100020,"Streptomycins or their derivatives, for human use, in dosage",3004,300410,200201,201112,51,13,67,1553349,201112,,yes,yes
3004100031,"Penicillins or their derivs, for vet use, in dosage",3004,300410,198801,200112,167,1,648,37406727,201112,,no,no
3004100031,"Penicillins or their derivatives, for veterinary use, in dosage",3004,300410,200201,201112,119,1,544,57877915,201112,,yes,yes
3004100032,"Streptomycins or their derivs, for vet use, in dosage",3004,300410,198802,200112,162,1,435,27371919,201112,,no,no
3004100032,"Streptomycins or their derivatives, for veterinary use, in dosage",3004,300410,200201,201112,104,3,299,23040797,201112,,yes,yes
3004100090,"Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",3004,300410,201201,202606,174,0,2126,222264995,,,,
