retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,rank,candidate,candidate_description,similarity_score,vetoed_by,record_overruled_gate,review_flag,same_content_words
30023900,1,exports,199512,40239940.00,"Vaccines, veterinary use, nes",18,30021000,"Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc",0.1731,,,,no
30023900,1,exports,199512,40239940.00,"Vaccines, veterinary use, nes",19,30021200,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",0.1731,continuity,,,no
30023900,1,exports,199512,40239940.00,"Vaccines, veterinary use, nes",20,30029020,Saxitoxin,0.1667,continuity,,,no
30029000,1,exports,199612,87070203.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",1,30029090,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",1.0000,,,,yes
30029000,1,exports,199612,87070203.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",2,30029010,Ricin,0.1250,,,,no
30029000,1,exports,199612,87070203.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",3,30029020,Saxitoxin,0.0476,,,,no
30029010,1,exports,198812,7990944.00,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",1,30029000,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",0.9211,,,,no
30029010,1,exports,198812,7990944.00,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",2,30029090,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",0.9211,continuity,,,no
30029010,1,exports,198812,7990944.00,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",3,30029020,Saxitoxin,0.0465,continuity,,,no
30029020,1,exports,198812,331522.00,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",1,30029000,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",0.9221,,,,no
30029020,1,exports,198812,331522.00,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",2,30029090,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",0.9221,continuity,,,no
30029020,1,exports,198812,331522.00,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",3,30029010,Ricin,0.1190,continuity,,,no
30029020,2,exports,201611,10613008.00,Saxitoxin,1,30029010,Ricin,0.4286,,,,no
30029020,2,exports,201611,10613008.00,Saxitoxin,2,30029090,"Human blood;anml blood therap/prophltc/diag uses;toxins,micro-orga cult,sim,nes",0.1364,,,,no
30031000,1,exports,202605,2184328.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",1,30033900,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",0.4277,,,,no
30031000,1,exports,202605,2184328.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",2,30034900,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",0.3418,,,,no
30031000,1,exports,202605,2184328.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",3,30032000,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",0.3145,,,,no
30031000,1,exports,202605,2184328.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",4,30039000,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",0.2532,,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",1,30039000,"Medicaments nes, formulated, in bulk",0.7667,,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",2,30032000,"Antibiotics nes, formulated, in bulk",0.7333,,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",3,30031000,"Penicillins or streptomycins and their derivatives, formulated, in bulk",0.5053,,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",4,30033900,"Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",0.4536,,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",5,30034000,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",0.4000,,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",6,30034900,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",0.2476,continuity,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",7,30034100,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",0.2264,continuity,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",8,30034200,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",0.2095,continuity,,,no
30033100,1,exports,199304,745761.00,"Insulin, formulated, in bulk",9,30036000,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",0.1748,continuity,,,no
30033100,2,exports,202505,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",1,30032000,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",0.6879,,,,no
30033100,2,exports,202505,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",2,30039000,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",0.6154,,,,no
30033100,2,exports,202505,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",3,30034900,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",0.5385,,,,no
30033100,2,exports,202505,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",4,30033900,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",0.3312,,,,no
30033100,2,exports,202505,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",5,30031000,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",0.2949,,,,no
30034000,1,exports,201611,2243690.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",1,30034900,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",0.3399,,,,no
30034000,1,exports,201611,2243690.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",2,30034200,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",0.3007,,,,no
30034000,1,exports,201611,2243690.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",3,30034100,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",0.2987,,,,no
30034000,1,exports,201611,2243690.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",4,30034300,,0.0000,,,,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",1,30034200,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",0.9057,,,,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",2,30039000,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",0.8050,,,,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3,30032000,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",0.7875,,,swapped term,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",4,30034900,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",0.7421,,,,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",5,30033100,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",0.7006,,,,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",6,30036000,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",0.6752,,,,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",7,30033900,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",0.3750,,,,no
30034100,1,exports,202009,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",8,30031000,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",0.2516,,,,no
