boundary,source_hs,target_hs,transfer_type,target_active_2025,target_life_span,applies_to_stage,collides_with_stage1,is_split_override_source,notes,applied,not_applied_reason
2016->2017,3002.90.00.19,3002.90.00.10,full_1to1,NO,2017-2021-5,stage_1,NO,NO,cbsa_class=agrees_direct; our_next=3002.90.00.10; our_family_terminal=3002.90.00.20; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2016->2017,3002.90.00.20,3002.90.00.90,full_1to1,YES,2017-2025,active_never_terminated,NO,YES,"cbsa_class=disagrees; our_next=none; our_family_terminal=3002.90.00.20; SPLIT_OVERRIDES_source:match_variant_exactly; DIRECT_OVERRIDES[3002.90.00.20,Butter-making ferment cultures] rules NO in-scope ch30 successor; CBSA names one",TRUE,
2016->2017,3002.90.00.91,3002.90.00.90,full_1to1,YES,2017-2025,none,NO,NO,"cbsa_class=disagrees; our_next=none; our_family_terminal=3002.90.00.91; DIRECT_OVERRIDES[3002.90.00.91,Bacteria culture inoculants] rules NO in-scope ch30 successor; CBSA names one",TRUE,
2016->2017,3002.90.00.92,3002.90.00.40,full_1to1,YES,2017-2025,stage_1,NO,NO,cbsa_class=agrees_direct; our_next=3002.90.00.40; our_family_terminal=3002.90.00.40,TRUE,
2016->2017,3002.90.00.93,3002.90.00.90,full_1to1,YES,2017-2025,stage_3,NO,NO,"cbsa_class=disagrees; our_next=3002.15.00.00; our_family_terminal=3002.15.00.00; contradicts_DIRECT_OVERRIDES[3002.90.00.93,Antiallergenic preparations]->3002.15.00.00",TRUE,
2016->2017,3002.90.00.99,3002.90.00.50,full_1to2,NO,2017-2021-5,stage_2,NO,NO,"cbsa_class=agrees_within_split; our_next=3002.90.00.90; our_family_terminal=3002.90.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; n_official_targets=2; one_to_many_siblings=3002.90.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3002.90.00.99,3002.90.00.90,full_1to2,YES,2017-2025,stage_2,NO,NO,"cbsa_class=agrees_within_split; our_next=3002.90.00.90; our_family_terminal=3002.90.00.90; n_official_targets=2; one_to_many_siblings=3002.90.00.50; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3003.40.00.00,3003.41.00.00,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3003.49.00.00; our_family_terminal=3003.49.00.00; n_official_targets=4; one_to_many_siblings=3003.42.00.00|3003.43.00.00|3003.49.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3003.40.00.00,3003.42.00.00,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3003.49.00.00; our_family_terminal=3003.49.00.00; n_official_targets=4; one_to_many_siblings=3003.41.00.00|3003.43.00.00|3003.49.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3003.40.00.00,3003.43.00.00,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3003.49.00.00; our_family_terminal=3003.49.00.00; n_official_targets=4; one_to_many_siblings=3003.41.00.00|3003.42.00.00|3003.49.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3003.40.00.00,3003.49.00.00,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3003.49.00.00; our_family_terminal=3003.49.00.00; n_official_targets=4; one_to_many_siblings=3003.41.00.00|3003.42.00.00|3003.43.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3004.40.00.30,3004.49.00.90,full_1to1,YES,2017-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.49.00.90; our_family_terminal=3004.49.00.90,TRUE,
2016->2017,3004.40.00.40,3004.49.00.10,full_1to1,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_direct; our_next=3004.49.00.10; our_family_terminal=3004.49.00.10; corroborates_DIRECT_OVERRIDES[3004.40.00.40,Morphine]->3004.49.00.10",TRUE,
2016->2017,3004.40.00.90,3004.41.00.00,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.49.00.90; our_family_terminal=3004.49.00.90; n_official_targets=4; one_to_many_siblings=3004.42.00.00|3004.43.00.00|3004.49.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3004.40.00.90,3004.42.00.00,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.49.00.90; our_family_terminal=3004.49.00.90; n_official_targets=4; one_to_many_siblings=3004.41.00.00|3004.43.00.00|3004.49.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3004.40.00.90,3004.43.00.00,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.49.00.90; our_family_terminal=3004.49.00.90; n_official_targets=4; one_to_many_siblings=3004.41.00.00|3004.42.00.00|3004.49.00.90; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3004.40.00.90,3004.49.00.90,full_1to4,YES,2017-2025,stage_3,NO,NO,"cbsa_class=agrees_within_split; our_next=3004.49.00.90; our_family_terminal=3004.49.00.90; n_official_targets=4; one_to_many_siblings=3004.41.00.00|3004.42.00.00|3004.43.00.00; agreement_route=direct; D-9: our pick falls inside the official target set but was chosen by our own stage-1/2/3 machinery, not by CBSA; see cbsa_override_ambiguous_imports.csv",TRUE,
2016->2017,3004.50.00.13,3004.50.00.19,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3004.50.00.19; our_family_terminal=3004.50.00.19,TRUE,
2016->2017,3006.60.00.10,3006.60.00.00,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3006.60.00.00; our_family_terminal=3006.60.00.00,TRUE,
2016->2017,3006.60.00.90,3006.60.00.00,full_1to1,YES,2017-2025,stage_2,NO,NO,cbsa_class=agrees_direct; our_next=3006.60.00.00; our_family_terminal=3006.60.00.00,TRUE,
