record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
EXR-30034900-201805,exports:3003.49.00:2018-05,exports,3003.49.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,803089,EX-30034000-198804,3003.40.00,198804,2,2,27,3003.40.00;3003.49.00
EXR-30036000-201812,exports:3003.60.00:2018-12,exports,3003.60.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",201812,202308,7735481,EX-30036000-201812,3003.60.00,201812,1,1,42,3003.60.00
EXR-30039000-198801,exports:3003.90.00:1988-01,exports,3003.90.00,"Medicaments nes, formulated, in bulk",198801,201612,934665379,EX-30033100-198801,3003.31.00,198801,2,2,9,3003.31.00;3003.90.00
EXR-30039000-201701,exports:3003.90.00:2017-01,exports,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",201701,202606,895500457,EX-30033100-198801,3003.31.00,198801,2,2,9,3003.31.00;3003.90.00
EXR-30041000-198901,exports:3004.10.00:1989-01,exports,3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",198901,200112,292912539,EX-30041010-198801,3004.10.10,198801,3,3,11,3004.10.00;3004.10.10;3004.10.20
EXR-30041000-200201,exports:3004.10.00:2002-01,exports,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",200201,202606,3763788689,EX-30041010-198801,3004.10.10,198801,3,3,11,3004.10.00;3004.10.10;3004.10.20
EXR-30041010-198801,exports:3004.10.10:1988-01,exports,3004.10.10,"Penicillins or streptomycins and their derivatives,in dosage,for human use",198801,198812,3401123,EX-30041010-198801,3004.10.10,198801,3,3,11,3004.10.00;3004.10.10;3004.10.20
EXR-30041020-198801,exports:3004.10.20:1988-01,exports,3004.10.20,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",198801,198812,992811,EX-30041010-198801,3004.10.10,198801,3,3,11,3004.10.00;3004.10.10;3004.10.20
EXR-30042000-198901,exports:3004.20.00:1989-01,exports,3004.20.00,"Antibiotics nes, in dosage",198901,200112,393606946,EX-30042010-198801,3004.20.10,198801,3,3,12,3004.20.00;3004.20.10;3004.20.20
EXR-30042000-200201,exports:3004.20.00:2002-01,exports,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",200201,202606,17228758909,EX-30042010-198801,3004.20.10,198801,3,3,12,3004.20.00;3004.20.10;3004.20.20
EXR-30042010-198801,exports:3004.20.10:1988-01,exports,3004.20.10,"Antibiotics nes, in dosage, for human use",198801,198812,7651667,EX-30042010-198801,3004.20.10,198801,3,3,12,3004.20.00;3004.20.10;3004.20.20
EXR-30042020-198801,exports:3004.20.20:1988-01,exports,3004.20.20,"Antibiotics nes, in dosage, for veterinary use",198801,198812,718992,EX-30042010-198801,3004.20.10,198801,3,3,12,3004.20.00;3004.20.10;3004.20.20
EXR-30043100-198803,exports:3004.31.00:1988-03,exports,3004.31.00,"Insulin, in dosage",198803,199909,1752462,EX-30043100-198803,3004.31.00,198803,1,1,26,3004.31.00
EXR-30043100-200207,exports:3004.31.00:2002-07,exports,3004.31.00,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",200207,202606,217431074,EX-30043100-198803,3004.31.00,198803,1,1,26,3004.31.00
EXR-30043200-198901,exports:3004.32.00:1989-01,exports,3004.32.00,"Adrenal cortical hormones, not containing antibiotics, in dosage",198901,200112,398967731,EX-30043210-198801,3004.32.10,198801,3,3,13,3004.32.00;3004.32.10;3004.32.20
