span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
exports:3004.50.10:1988-01,exports,3004.50.10,"Vitamins and their derivatives,in dosage for human use",198801,198812,5171012,2,1,1,3004.50.10 -> 3004.50.00,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.50.20:1988-01,exports,3004.50.20,"Vitamins and their derivatives,in dosage for veterinary use",198801,198812,1105557,2,1,1,3004.50.20 -> 3004.50.00,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.60.00:2017-01,exports,3004.60.00,"Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",201701,202606,40290657,1,0,0,3004.60.00,3004.60.00,"Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",201701,202606,active
exports:3004.90.00:1989-01,exports,3004.90.00,"Medicaments nes, in dosage",198901,201612,62584070826,2,1,1,3004.90.00 -> 3004.90.90,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,active
exports:3004.90.00:2017-01,exports,3004.90.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201701,201712,4449244871,2,1,0,3004.90.00 -> 3004.90.90,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,active
exports:3004.90.10:1988-01,exports,3004.90.10,"Medicaments nes, in dosage, for human use",198801,198812,52047406,3,2,1,3004.90.10 -> 3004.90.00 -> 3004.90.90,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,active
exports:3004.90.10:2018-02,exports,3004.90.10,"Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",201802,202606,230767263,1,0,0,3004.90.10,3004.90.10,"Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",201802,202606,active
exports:3004.90.20:1988-01,exports,3004.90.20,"Medicaments nes, in dosage, for veterinary use",198801,198812,5163106,3,2,1,3004.90.20 -> 3004.90.00 -> 3004.90.90,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,active
exports:3004.90.90:2018-01,exports,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,60805636213,1,0,0,3004.90.90,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,active
exports:3005.10.00:1988-01,exports,3005.10.00,Dressings and other articles having an adhesive layer,198801,202606,592045943,1,0,0,3005.10.00,3005.10.00,Dressings and other articles having an adhesive layer,198801,202606,active
exports:3005.90.00:1988-01,exports,3005.90.00,"Dressings & similar articles,impreg or coated or packaged for med use, nes",198801,202606,1040018101,1,0,0,3005.90.00,3005.90.00,"Dressings & similar articles,impreg or coated or packaged for med use, nes",198801,202606,active
exports:3006.10.00:1988-01,exports,3006.10.00,"Suture materials,sterile;laminaria, sterie;haemostatics,sterile,surg or dental",198801,200106,52713717,1,0,1,3006.10.00,3006.10.00,"Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",200201,202606,active
exports:3006.10.00:2002-01,exports,3006.10.00,"Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",200201,202606,28342079,1,0,0,3006.10.00,3006.10.00,"Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",200201,202606,active
exports:3006.20.00:1988-01,exports,3006.20.00,Blood-grouping reagents,198801,202112,72350467,1,0,0,3006.20.00,3006.20.00,Blood-grouping reagents,198801,202112,left_chapter
