record_id,family_id,flow,step_number,steps_in_journey,hs_code,description,step_first_period,step_last_period,rewordings_within_step,step_status,next_hs_code
EXR-30042010-198801,EX-30042010-198801,exports,1,2,3004.20.10,"Antibiotics nes, in dosage, for human use",198801,198812,0,succeeded,3004.20.00
EXR-30042010-198801,EX-30042010-198801,exports,2,2,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30042020-198801,EX-30042010-198801,exports,1,2,3004.20.20,"Antibiotics nes, in dosage, for veterinary use",198801,198812,0,succeeded,3004.20.00
EXR-30042020-198801,EX-30042010-198801,exports,2,2,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30043100-198803,EX-30043100-198803,exports,1,1,3004.31.00,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",198803,202606,1,active,
EXR-30043100-200207,EX-30043100-198803,exports,1,1,3004.31.00,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",200207,202606,0,active,
EXR-30043200-198901,EX-30043210-198801,exports,1,1,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30043200-200201,EX-30043210-198801,exports,1,1,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",200201,202606,0,active,
EXR-30043210-198801,EX-30043210-198801,exports,1,2,3004.32.10,"Adrenal cortical hormones, in dosage, for human use",198801,198812,0,succeeded,3004.32.00
EXR-30043210-198801,EX-30043210-198801,exports,2,2,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30043220-198802,EX-30043210-198801,exports,1,2,3004.32.20,"Adrenal cortical hormones, in dosage, for veterinary use",198802,198811,0,succeeded,3004.32.00
EXR-30043220-198802,EX-30043210-198801,exports,2,2,3004.32.00,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30043900-198901,EX-30043910-198801,exports,1,1,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",198901,202606,1,active,
EXR-30043900-200201,EX-30043910-198801,exports,1,1,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",200201,202606,0,active,
EXR-30043910-198801,EX-30043910-198801,exports,1,2,3004.39.10,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",198801,198812,0,succeeded,3004.39.00
EXR-30043910-198801,EX-30043910-198801,exports,2,2,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",198901,202606,1,active,
EXR-30043920-198801,EX-30043910-198801,exports,1,2,3004.39.20,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",198801,198812,0,succeeded,3004.39.00
EXR-30043920-198801,EX-30043910-198801,exports,2,2,3004.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",198901,202606,1,active,
EXR-30044000-198801,EX-30044000-198801,exports,1,2,3004.40.00,"Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage",198801,201612,0,succeeded,3004.49.00
EXR-30044000-198801,EX-30044000-198801,exports,2,2,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,0,active,
EXR-30044100-201701,EX-30044100-201701,exports,1,1,3004.41.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202605,0,not_a_retirement,
EXR-30044200-201701,EX-30044200-201701,exports,1,1,3004.42.00,"Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202606,0,active,
EXR-30044300-201703,EX-30044300-201703,exports,1,1,3004.43.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201703,202203,0,not_a_retirement,
EXR-30044900-201701,EX-30044000-198801,exports,1,1,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,0,active,
EXR-30045000-198901,EX-30045010-198801,exports,1,1,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30045000-200201,EX-30045010-198801,exports,1,1,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",200201,202606,0,active,
EXR-30045010-198801,EX-30045010-198801,exports,1,2,3004.50.10,"Vitamins and their derivatives,in dosage for human use",198801,198812,0,succeeded,3004.50.00
EXR-30045010-198801,EX-30045010-198801,exports,2,2,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30045020-198801,EX-30045010-198801,exports,1,2,3004.50.20,"Vitamins and their derivatives,in dosage for veterinary use",198801,198812,0,succeeded,3004.50.00
EXR-30045020-198801,EX-30045010-198801,exports,2,2,3004.50.00,"Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",198901,202606,1,active,
EXR-30046000-201701,EX-30046000-201701,exports,1,1,3004.60.00,"Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",201701,202606,0,active,
EXR-30049000-198901,EX-30049010-198801,exports,1,2,3004.90.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",198901,201712,1,succeeded,3004.90.90
EXR-30049000-198901,EX-30049010-198801,exports,2,2,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,0,active,
EXR-30049000-201701,EX-30049010-198801,exports,1,2,3004.90.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201701,201712,0,succeeded,3004.90.90
EXR-30049000-201701,EX-30049010-198801,exports,2,2,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,0,active,
EXR-30049010-198801,EX-30049010-198801,exports,1,3,3004.90.10,"Medicaments nes, in dosage, for human use",198801,198812,0,succeeded,3004.90.00
EXR-30049010-198801,EX-30049010-198801,exports,2,3,3004.90.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",198901,201712,1,succeeded,3004.90.90
EXR-30049010-198801,EX-30049010-198801,exports,3,3,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,0,active,
