record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
IMR-3004100019-200201,imports:3004.10.00.19:2002-01,imports,3004.10.00.19,"Penicillins or their derivatives, nes, for human use, in dosage",200201,201112,288412775,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100020-198801,imports:3004.10.00.20:1988-01,imports,3004.10.00.20,"Streptomycins or their derivs, for human use, in dosage",198801,200112,18867459,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100020-200201,imports:3004.10.00.20:2002-01,imports,3004.10.00.20,"Streptomycins or their derivatives, for human use, in dosage",200201,201112,1553349,IM-3004100011-198801,3004.10.00.11,198801,7,7,21,3004.10.00.10;3004.10.00.11;3004.10.00.12;3004.10.00.13;3004.10.00.14;3004.10.00.19;3004.10.00.20
IMR-3004100031-198801,imports:3004.10.00.31:1988-01,imports,3004.10.00.31,"Penicillins or their derivs, for vet use, in dosage",198801,200112,37406727,IM-3004100031-198801,3004.10.00.31,198801,3,3,22,3004.10.00.31;3004.10.00.32;3004.10.00.90
IMR-3004100031-200201,imports:3004.10.00.31:2002-01,imports,3004.10.00.31,"Penicillins or their derivatives, for veterinary use, in dosage",200201,201112,57877915,IM-3004100031-198801,3004.10.00.31,198801,3,3,22,3004.10.00.31;3004.10.00.32;3004.10.00.90
IMR-3004100032-198802,imports:3004.10.00.32:1988-02,imports,3004.10.00.32,"Streptomycins or their derivs, for vet use, in dosage",198802,200112,27371919,IM-3004100031-198801,3004.10.00.31,198801,3,3,22,3004.10.00.31;3004.10.00.32;3004.10.00.90
IMR-3004100032-200201,imports:3004.10.00.32:2002-01,imports,3004.10.00.32,"Streptomycins or their derivatives, for veterinary use, in dosage",200201,201112,23040797,IM-3004100031-198801,3004.10.00.31,198801,3,3,22,3004.10.00.31;3004.10.00.32;3004.10.00.90
IMR-3004100090-201201,imports:3004.10.00.90:2012-01,imports,3004.10.00.90,"Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",201201,202606,222264995,IM-3004100031-198801,3004.10.00.31,198801,3,3,22,3004.10.00.31;3004.10.00.32;3004.10.00.90
IMR-3004200010-198801,imports:3004.20.00.10:1988-01,imports,3004.20.00.10,"Tetracyclines or their derivs, for human use, in dosage",198801,200111,31043164,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200010-200201,imports:3004.20.00.10:2002-01,imports,3004.20.00.10,"Tetracyclines or their derivatives, for human use, in dosage",200201,201112,16949339,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200011-201201,imports:3004.20.00.11:2012-01,imports,3004.20.00.11,"Medicaments containing cephalosporins, for human use, in doses/packings frs",201201,202606,343971034,IM-3004200020-198801,3004.20.00.20,198801,2,2,24,3004.20.00.11;3004.20.00.20
IMR-3004200012-201201,imports:3004.20.00.12:2012-01,imports,3004.20.00.12,"Medicaments containing vancomycin, for human use, in doses/pack for retail sale",201201,202606,143107474,IM-3004200063-198801,3004.20.00.63,198801,2,2,27,3004.20.00.12;3004.20.00.63
IMR-3004200013-201201,imports:3004.20.00.13:2012-01,imports,3004.20.00.13,"Medicaments containing erythromycin, for human use,in doses/pack for retail sale",201201,202606,85156162,IM-3004200031-198801,3004.20.00.31,198801,2,2,25,3004.20.00.13;3004.20.00.31
IMR-3004200018-201201,imports:3004.20.00.18:2012-01,imports,3004.20.00.18,"Medicaments containing macrolide,o/t erythromycin,f human use,doses/pack frs,nes",201201,202606,256165673,IM-3004200039-198801,3004.20.00.39,198801,2,2,26,3004.20.00.18;3004.20.00.39
IMR-3004200019-201201,imports:3004.20.00.19:2012-01,imports,3004.20.00.19,"Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",201201,202606,1895929597,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200020-198801,imports:3004.20.00.20:1988-01,imports,3004.20.00.20,"Cephalosporins, for human use, in dosage",198801,201112,952412146,IM-3004200020-198801,3004.20.00.20,198801,2,2,24,3004.20.00.11;3004.20.00.20
IMR-3004200031-198801,imports:3004.20.00.31:1988-01,imports,3004.20.00.31,"Erythromycin, for human use, in dosage",198801,201112,217132160,IM-3004200031-198801,3004.20.00.31,198801,2,2,25,3004.20.00.13;3004.20.00.31
IMR-3004200039-198801,imports:3004.20.00.39:1988-01,imports,3004.20.00.39,"Macrolide antibiotics nes, for human use, in dosage",198801,200112,48798319,IM-3004200039-198801,3004.20.00.39,198801,2,2,26,3004.20.00.18;3004.20.00.39
IMR-3004200039-200201,imports:3004.20.00.39:2002-01,imports,3004.20.00.39,"Macrolide antibiotics, nes, for human use, in dosage",200201,201112,314746228,IM-3004200039-198801,3004.20.00.39,198801,2,2,26,3004.20.00.18;3004.20.00.39
