year,hs10,tariff_item8,description,uom
2006,3004.90.00.33,3004.90.00,Antihypertensive agents,-
2006,3004.90.00.34,3004.90.00,Antihistaminic agents,-
2006,3004.90.00.35,3004.90.00,Other agents acting on the central nervous system,-
2006,3004.90.00.36,3004.90.00,Local anaesthetics,-
2006,3004.90.00.39,3004.90.00,Other,-
2006,3004.90.00.41,3004.90.00,Histamine H+2 receptor antagonist,-
2006,3004.90.00.42,3004.90.00,Laxatives,-
2006,3004.90.00.43,3004.90.00,Antacids,-
2006,3004.90.00.49,3004.90.00,Other,-
2006,3004.90.00.50,3004.90.00,"Other, for human use, acting on the cardio-vascular system",-
2006,3004.90.00.61,3004.90.00,Containing sulfonamides,-
2006,3004.90.00.69,3004.90.00,Other,-
2006,3004.90.00.71,3004.90.00,Haematological agents,-
2006,3004.90.00.72,3004.90.00,Antineoplastic agents,-
2006,3004.90.00.73,3004.90.00,Cough or cold preparations,-
2006,3004.90.00.74,3004.90.00,"Other, primarily affecting the eyes, ears or respiratory system",-
2006,3004.90.00.75,3004.90.00,Diuretics,-
2006,3004.90.00.76,3004.90.00,"Other medicaments primarily affecting electrolytic, caloric or water balance",-
2006,3004.90.00.77,3004.90.00,Dermatological agents,-
2006,3004.90.00.78,3004.90.00,Containing hyaluronic acid or its sodium salt,-
2006,3004.90.00.79,3004.90.00,Other,-
2006,3004.90.00.81,3004.90.00,Anaesthetics,-
2006,3004.90.00.89,3004.90.00,Other,-
2006,3005.10.00.10,3005.10.00,Coated or impregnated with pharmaceutical substances,-
2006,3005.10.00.91,3005.10.00,Adhesive dressings,-
2006,3005.10.00.99,3005.10.00,Other,-
2006,3005.90.00.10,3005.90.00,"Bandages and slabs of textile fabric specially coated with plaster of Paris compound; other articles specially designed for use as, or for use in the making of orthopaedic casts",-
2006,3005.90.00.20,3005.90.00,Coated or impregnated with pharmaceutical substances,-
2006,3005.90.00.30,3005.90.00,"Surgical dressings, not stitched or otherwise manufactured, not coated or impregnated with pharmaceutical substances",-
2006,3005.90.00.40,3005.90.00,"Other, of woven fabrics other than woven fabrics solely of cotton; of knitted fabrics, nonwovens or felts",-
2006,3005.90.00.50,3005.90.00,"Other, of woven fabrics solely of cotton",-
2006,3005.90.00.60,3005.90.00,"Other, of paper",-
2006,3005.90.00.90,3005.90.00,Other,-
2006,3006.10.00.10,3006.10.00,Sterile surgical catgut and similar sterile suture materials for surgical woundclosure,-
2006,3006.10.00.90,3006.10.00,Other,-
2006,3006.20.00.10,3006.20.00,Of human origin,-
2006,3006.20.00.20,3006.20.00,Of animal origin,-
2006,3006.20.00.90,3006.20.00,Of other origin,-
2006,3006.30.00.10,3006.30.00,Opacifying preparations for X-ray examinations,-
2006,3006.30.00.20,3006.30.00,Allergenics prepared for parenteral administration,-
2006,3006.30.00.90,3006.30.00,Other,-
2006,3006.40.00.10,3006.40.00,Dental cements and bone reconstruction cements,-
2006,3006.40.00.20,3006.40.00,Points for filling dental root canals,-
2006,3006.40.00.30,3006.40.00,"Dental fillings of composition metals, excluding those in powder or pellet form",-
2006,3006.40.00.90,3006.40.00,Other dental fillings,-
2006,3006.50.00.00,3006.50.00,First-aid boxes and kits,-
2006,3006.60.00.11,3006.60.00,Containing norethesterone acetate and ethinylestradiol,-
2006,3006.60.00.19,3006.60.00,Other,-
2006,3006.60.00.90,3006.60.00,Other than in measured doses,-
2006,3006.70.10.00,3006.70.10,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen",-
2006,3006.70.90.00,3006.70.90,Other,-
2006,3006.80.11.00,3006.80.11,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen",-
2006,3006.80.19.00,3006.80.19,Other,-
2006,3006.80.90.10,3006.80.90,Of the goods of heading 30.01,-
2006,3006.80.90.20,3006.80.90,Of the goods of heading 30.02,-
2006,3006.80.90.30,3006.80.90,Of the goods of heading 30.03,-
2006,3006.80.90.41,3006.80.90,Of the goods of subheadings 3004.10 to 3004.39,-
2006,3006.80.90.42,3006.80.90,Of the goods of subheadings 3004.40 or 3004.50,-
2006,3006.80.90.43,3006.80.90,Of the goods of subheading 3004.90,-
2006,3006.80.90.50,3006.80.90,Of the goods of heading 30.05,-
2006,3006.80.90.60,3006.80.90,Of the goods of heading 30.06,-
2007,3001.20.00.00,3001.20.00,Extracts of glands or other organs or of their secretions,KGM
2007,3001.90.00.10,3001.90.00,Heparin and its salts,KGM
2007,3001.90.00.20,3001.90.00,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM
2007,3001.90.00.90,3001.90.00,Other,KGM
2007,3002.10.00.10,3002.10.00,"Human antisera and other human blood fractions, for diagnostic use",KGM
2007,3002.10.00.21,3002.10.00,Blood plasma,KGM
2007,3002.10.00.22,3002.10.00,Normal serum globulin,KGM
2007,3002.10.00.23,3002.10.00,Immune serum globulin,KGM
2007,3002.10.00.29,3002.10.00,Other,KGM
2007,3002.10.00.30,3002.10.00,"Human antisera and other human blood fractions, for other uses",KGM
2007,3002.10.00.41,3002.10.00,Bovine albumin,KGM
2007,3002.10.00.42,3002.10.00,Sera and antisera,KGM
2007,3002.10.00.49,3002.10.00,Other,KGM
2007,3002.10.00.51,3002.10.00,For use in humans,KGM
2007,3002.10.00.59,3002.10.00,Other,KGM
2007,3002.10.00.60,3002.10.00,Modified immunological products,KGM
2007,3002.20.00.10,3002.20.00,Against influenza virus,-
2007,3002.20.00.20,3002.20.00,Against rubella (German measles),-
2007,3002.20.00.30,3002.20.00,Against rabies,-
2007,3002.20.00.90,3002.20.00,Other,-
2007,3002.30.00.10,3002.30.00,Vaccines against foot and mouth disease; vaccines prepared for parenteral administration; bovine intranasal vaccine,-
2007,3002.30.00.90,3002.30.00,Other,-
2007,3002.90.00.11,3002.90.00,Ricin,-
2007,3002.90.00.12,3002.90.00,Saxitoxin,-
2007,3002.90.00.19,3002.90.00,Other,-
2007,3002.90.00.20,3002.90.00,Butter-making ferment cultures,KGM
2007,3002.90.00.30,3002.90.00,"Dried blood of animal origin, whether or not soluble",-
2007,3002.90.00.91,3002.90.00,Bacteria culture inoculants for seeds,-
2007,3002.90.00.92,3002.90.00,Whole human blood,-
2007,3002.90.00.93,3002.90.00,Antiallergenic preparations of microbial origin,-
2007,3002.90.00.99,3002.90.00,Other,-
2007,3003.10.00.00,3003.10.00,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM
2007,3003.20.00.00,3003.20.00,Containing other antibiotics,KGM
2007,3003.31.00.10,3003.31.00,Prepared for parenteral administration in humans,KGM
2007,3003.31.00.90,3003.31.00,Other,KGM
2007,3003.39.00.10,3003.39.00,"Epinephrine and its solutions, prepared for parenteral administration in humans",KGM
2007,3003.39.00.90,3003.39.00,Other,KGM
2007,3003.40.00.00,3003.40.00,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,KGM
2007,3003.90.00.10,3003.90.00,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",KGM
2007,3003.90.00.20,3003.90.00,Containing more than 23% of absolute ethyl alcohol by volume,LTR
2007,3003.90.00.91,3003.90.00,Containing acetaminophen,KGM
2007,3003.90.00.99,3003.90.00,Other,KGM
2007,3004.10.00.11,3004.10.00,Containing penicillin G sodium,-
2007,3004.10.00.12,3004.10.00,Containing penicillin V,-
2007,3004.10.00.13,3004.10.00,Containing amoxacillin,-
2007,3004.10.00.19,3004.10.00,Other,-
2007,3004.10.00.20,3004.10.00,"For human use, containing streptomycins or their derivatives",-
2007,3004.10.00.31,3004.10.00,Containing penicillins or derivatives thereof,-
2007,3004.10.00.32,3004.10.00,Containing streptomycins or derivatives thereof,-
2007,3004.20.00.10,3004.20.00,"For human use, containing tetracyclines or their derivatives",-
2007,3004.20.00.20,3004.20.00,"For human use, containing cephalosporins",-
2007,3004.20.00.31,3004.20.00,Containing erythromycin,-
