uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
EXR-30033900-198801,"3003.39.00 - Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",EX-30033900-198801,1,3003.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,not for retail sale",1988-01,2001-11,active,,1988-01,2026-06
EXR-30033900-200201,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",EX-30033900-198801,1,3003.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,not for retail sale",2002-01,2026-06,active,,2002-01,2026-06
EXR-30034000-198804,"3003.40.00 - Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk (Terminated 2016-12)",EX-30034000-198804,1,3003.40.00,"Alkaloids or their derivatives, formulated, not cntg antibiotics or hormones, in bulk",1988-04,2016-11,succeeded,3003.49.00,1988-04,2016-11
EXR-30034000-198804,"3003.40.00 - Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk (Terminated 2016-12)",EX-30034000-198804,2,3003.49.00,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-04,2016-11,active,,2018-05,2026-06
EXR-30034100-202009,"3003.41.00 - Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",EX-30034100-202009,1,3003.41.00,"Medicaments,containing ephedrin/salts,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2020-09,2020-09,not_a_retirement,,2020-09,2020-09
EXR-30034200-201905,"3003.42.00 - Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",EX-30034200-201905,1,3003.42.00,"Medicaments,containing pseudoephedrine/sa,mixed,therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2019-05,2024-09,not_a_retirement,,2019-05,2024-09
EXR-30034900-201805,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",EX-30034000-198804,1,3003.49.00,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2018-05,2026-06,active,,2018-05,2026-06
EXR-30036000-201812,"3003.60.00 - Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",EX-30036000-201812,1,3003.60.00,"Medicaments,containing antimalarial active principles,mixed,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2018-12,2023-08,not_a_retirement,,2018-12,2023-08
EXR-30039000-198801,"3003.90.00 - Medicaments nes, formulated, in bulk",EX-30033100-198801,1,3003.90.00,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,2016-12,active,,1988-01,2026-06
EXR-30039000-201701,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",EX-30033100-198801,1,3003.90.00,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-06,active,,2017-01,2026-06
EXR-30041000-198901,"3004.10.00 - Penicillins or streptomycins and their derivatives, in dosage",EX-30041010-198801,1,3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",1989-01,2001-12,active,,1989-01,2026-06
EXR-30041000-200201,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",EX-30041010-198801,1,3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",2002-01,2026-06,active,,2002-01,2026-06
EXR-30041010-198801,"3004.10.10 - Penicillins or streptomycins and their derivatives,in dosage,for human use (Terminated 1988-12)",EX-30041010-198801,1,3004.10.10,"Penicillins or streptomycins and their derivatives,in dosage,for human use",1988-01,1988-12,succeeded,3004.10.00,1988-01,1988-12
EXR-30041010-198801,"3004.10.10 - Penicillins or streptomycins and their derivatives,in dosage,for human use (Terminated 1988-12)",EX-30041010-198801,2,3004.10.00,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",1988-01,1988-12,active,,1989-01,2026-06
