flow,v1_uid,v1_family_id,v1_hs_code,v1_first_period,v1_last_period,v1_description,v2_record_id,v2_family_id,v2_hs_code,v2_first_period,v2_last_period,matched_on,note
imports,IMR_0341,IM_0191,3004.90.00.74,199801,201112,"Medicaments, primarily affecting eyes,ears & respiratory system,human use, in dosage,not elsewhere specified",IMR-3004900074-199801,IM-3004909979-199001,3004.90.00.74,199801,201112,code and first month,
imports,IMR_0342,IM_0192,3004.90.00.75,199801,201612,"Diuretics, for human use, in dosage",IMR-3004900075-199801,IM-3004909981-198801,3004.90.00.75,199801,201612,code and first month,
imports,IMR_0343,IM_0192,3004.90.00.75,201701,202512,"Diuretics, for human use, in doses/packings for retail sale, other than products of headings 30.02, 30.05, 30.06",IMR-3004900075-201701,IM-3004909981-198801,3004.90.00.75,201701,202606,code and first month,
imports,IMR_0344,IM_0193,3004.90.00.76,201701,202512,"Medicaments,for electrolytic/caloric/water balance,human use,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",IMR-3004900076-201701,IM-3004909982-198801,3004.90.00.76,201701,202606,code and first month,
imports,IMR_0345,IM_0193,3004.90.00.76,199801,201112,"Medicaments affecting electrolytic, caloric/water balance, for human use, in dosage",IMR-3004900076-199801,IM-3004909982-198801,3004.90.00.76,199801,201112,code and first month,
imports,IMR_0346,IM_0193,3004.90.00.76,201201,201612,"Medicaments,affecting electrolytic, caloric/water balance, for human use, in dosage",IMR-3004900076-201201,IM-3004909982-198801,3004.90.00.76,201201,201612,code and first month,
imports,IMR_0347,IM_0194,3004.90.00.77,199801,201612,"Dermatological agents, for human use, in dosage",IMR-3004900077-199801,IM-3004909983-199001,3004.90.00.77,199801,201612,code and first month,
imports,IMR_0348,IM_0194,3004.90.00.77,201701,202512,"Dermatological agents, for human use, in doses/packings for retail sale, other than products of headings 30.02, 30.05, 30.06",IMR-3004900077-201701,IM-3004909983-199001,3004.90.00.77,201701,202606,code and first month,
imports,IMR_0349,IM_0195,3004.90.00.78,201701,202512,"Medicaments,containing hyaluronic acid/its sodium salt,human use,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",IMR-3004900078-201701,IM-3004909984-199001,3004.90.00.78,201701,202606,code and first month,
imports,IMR_0350,IM_0195,3004.90.00.78,199801,201612,"Medicaments containing hyaluronic acid or its sodium salt, for human use, in dosage",IMR-3004900078-199801,IM-3004909984-199001,3004.90.00.78,199801,201612,code and first month,
imports,IMR_0351,IM_0172,3004.90.00.79,199801,200112,"Medicaments not elsewhere specified, for human use, in dosage",IMR-3004900079-199801,IM-3004909100-198801,3004.90.00.79,199801,200112,code and first month,
imports,IMR_0352,IM_0172,3004.90.00.79,200201,201112,"Medicaments, not elsewhere specified, for human use, in dosage",IMR-3004900079-200201,IM-3004909100-198801,3004.90.00.79,200201,201112,code and first month,
imports,IMR_0353,IM_0172,3004.90.00.79,201701,202512,"Medicaments,for human use,in doses/packings for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",IMR-3004900079-201701,IM-3004909100-198801,3004.90.00.79,201701,202606,code and first month,
imports,IMR_0354,IM_0172,3004.90.00.79,201201,201612,"Other medicaments, for human use, in dosage, not elsewhere specified",IMR-3004900079-201201,IM-3004909100-198801,3004.90.00.79,201201,201612,code and first month,
imports,IMR_0355,IM_0197,3004.90.00.81,199801,201112,"Anaesthetic, for veterinary use, in dosage",IMR-3004900081-199801,IM-3004909991-198801,3004.90.00.81,199801,201112,code and first month,
imports,IMR_0356,IM_0197,3004.90.00.89,199801,200112,"Medicaments not elsewhere specified, for veterinary use, in dosage",IMR-3004900089-199801,IM-3004909991-198801,3004.90.00.89,199801,200112,code and first month,
imports,IMR_0357,IM_0197,3004.90.00.89,200201,201112,"Medicaments, not elsewhere specified, for veterinary use, in dosage",IMR-3004900089-200201,IM-3004909991-198801,3004.90.00.89,200201,201112,code and first month,
imports,IMR_0358,IM_0197,3004.90.00.90,201701,202512,"Medicaments,for veterinary use,doses/packings for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",IMR-3004900090-201701,IM-3004909991-198801,3004.90.00.90,201701,202606,code and first month,
imports,IMR_0359,IM_0197,3004.90.00.90,201201,201612,"Other medicaments, for veterinary use, in dosage, not elsewhere specified",IMR-3004900090-201201,IM-3004909991-198801,3004.90.00.90,201201,201612,code and first month,
imports,IMR_0360,IM_0169,3004.90.10.10,198801,199712,"Mixtures of amino acids, not elsewhere specified, in dosage",IMR-3004901010-198801,IM-3004901010-198801,3004.90.10.10,198801,199712,code and first month,
imports,IMR_0361,IM_0170,3004.90.10.20,198801,198912,"Dextrose (glucose) & levulose (fructose) solutions, in dosage",IMR-3004901020-198801,IM-3004901020-198801,3004.90.10.20,198801,198912,code and first month,
imports,IMR_0362,IM_0170,3004.90.10.20,199001,199712,"Dextrose (glucose) solutions, in dosage",IMR-3004901020-199001,IM-3004901020-198801,3004.90.10.20,199001,199712,code and first month,
imports,IMR_0363,IM_0171,3004.90.10.90,198801,199712,"Mixtures of amino acids & protein hydrolysates, etc, in dosage",IMR-3004901090-198801,IM-3004901090-198801,3004.90.10.90,198801,199712,code and first month,
imports,IMR_0364,IM_0172,3004.90.91.00,198801,199712,"Medicaments containing more than 23% of abs ethyl alc by vol, not elsewhere specified, in dosage",IMR-3004909100-198801,IM-3004909100-198801,3004.90.91.00,198801,199712,code and first month,
imports,IMR_0365,IM_0174,3004.90.99.11,198801,199712,"Analgesics, for human use, in dosage",IMR-3004909911-198801,IM-3004909911-198801,3004.90.99.11,198801,199712,code and first month,
imports,IMR_0366,IM_0175,3004.90.99.12,198801,199712,"Antidepressants & tranquilizers, for human use, in dosage",IMR-3004909912-198801,IM-3004909912-198801,3004.90.99.12,198801,199712,code and first month,
imports,IMR_0367,IM_0176,3004.90.99.13,198801,199712,"Antihypertensive agents, for human use, in dosage",IMR-3004909913-198801,IM-3004909913-198801,3004.90.99.13,198801,199712,code and first month,
imports,IMR_0368,IM_0177,3004.90.99.14,198801,199712,"Antihistamines agents, for human use, in dosage",IMR-3004909914-198801,IM-3004909914-198801,3004.90.99.14,198801,199712,code and first month,
imports,IMR_0369,IM_0178,3004.90.99.15,199001,199712,"Medicaments, for human use, acting on the nervous system, in dosage, not elsewhere specified",IMR-3004909915-199001,IM-3004909915-199001,3004.90.99.15,199001,199712,code and first month,
imports,IMR_0370,IM_0179,3004.90.99.16,199004,199712,"Local anaesthetics, for human use, in dosage",IMR-3004909916-199004,IM-3004909916-199004,3004.90.99.16,199004,199712,code and first month,
imports,IMR_0371,IM_0180,3004.90.99.19,198801,199712,"Medicaments, for human use, acting on the central nervous system, in dosage, not elsewhere specified",IMR-3004909919-198801,IM-3004909919-198801,3004.90.99.19,198801,199712,code and first month,
imports,IMR_0372,IM_0181,3004.90.99.21,198801,199712,"Histamine H2 receptor antagonist, for human use, in dosage",IMR-3004909921-198801,IM-3004909921-198801,3004.90.99.21,198801,199712,code and first month,
imports,IMR_0373,IM_0182,3004.90.99.22,199001,199712,"Laxatives, for human use, in dosage",IMR-3004909922-199001,IM-3004909922-199001,3004.90.99.22,199001,199712,code and first month,
imports,IMR_0374,IM_0183,3004.90.99.23,199001,199712,"Antacids, for human use, in dosage",IMR-3004909923-199001,IM-3004909923-199001,3004.90.99.23,199001,199712,code and first month,
imports,IMR_0375,IM_0181,3004.90.99.29,198801,199712,"Gastro-intestinal agents, for human use, in dosage, not elsewhere specified",IMR-3004909929-198801,IM-3004909921-198801,3004.90.99.29,198801,199712,code and first month,
imports,IMR_0376,IM_0185,3004.90.99.30,198801,199712,"Medicaments, for human use, acting on the cardio-vascular system, in dosage",IMR-3004909930-198801,IM-3004909930-198801,3004.90.99.30,198801,199712,code and first month,
imports,IMR_0377,IM_0187,3004.90.99.40,198801,198912,"Anti-infective agents, for human use, in dosage",IMR-3004909940-198801,IM-3004909940-198801,3004.90.99.40,198801,198912,code and first month,
imports,IMR_0378,IM_0186,3004.90.99.41,199001,199712,"Anti-infective agents, containing sulfonamides, for human use, in dosage",IMR-3004909941-199001,IM-3004909941-199001,3004.90.99.41,199001,199712,code and first month,
imports,IMR_0379,IM_0187,3004.90.99.49,199001,199712,"Anti-infective agents, for human use, in dosage, not elsewhere specified",IMR-3004909949-199001,IM-3004909940-198801,3004.90.99.49,199001,199712,code and first month,
imports,IMR_0380,IM_0188,3004.90.99.50,198801,199712,"Haematological agents, for human use, in dosage",IMR-3004909950-198801,IM-3004909950-198801,3004.90.99.50,198801,199712,code and first month,
imports,IMR_0381,IM_0189,3004.90.99.60,198801,199712,"Antineoplastic agents, for human use, in dosage",IMR-3004909960-198801,IM-3004909960-198801,3004.90.99.60,198801,199712,code and first month,
imports,IMR_0382,IM_0190,3004.90.99.71,199001,199712,"Cough/cold preparations, for human use, in dosage",IMR-3004909971-199001,IM-3004909971-199001,3004.90.99.71,199001,199712,code and first month,
imports,IMR_0383,IM_0191,3004.90.99.79,199001,199712,"Medicaments, primarily affecting eyes,ears & respiratory system,human use, in dosage,not elsewhere specified",IMR-3004909979-199001,IM-3004909979-199001,3004.90.99.79,199001,199712,code and first month,
imports,IMR_0384,IM_0192,3004.90.99.81,198801,199712,"Diuretics, for human use, in dosage",IMR-3004909981-198801,IM-3004909981-198801,3004.90.99.81,198801,199712,code and first month,
imports,IMR_0385,IM_0193,3004.90.99.82,198801,199712,"Medicaments affecting electrolytic, caloric/water balance, for human use, in dosage",IMR-3004909982-198801,IM-3004909982-198801,3004.90.99.82,198801,199712,code and first month,
