uid,orig_hs_code,family_id,resolution_source,resolution_detail,official_adjudicated,official_agrees,boundary_crossed,confidence_tier,departure_from_official
IMR-3002490010-202201,3002.49.00.10,IM-3002900050-201701,never_retired,,not_applicable,,not_applicable,,
IMR-3002490020-202201,3002.49.00.20,IM-3002901010-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002490090-202201,3002.49.00.90,IM-3002490090-202201,never_retired,,not_applicable,,not_applicable,,
IMR-3002510000-202201,3002.51.00.00,IM-3002510000-202201,never_retired,,not_applicable,,not_applicable,,
IMR-3002590000-202201,3002.59.00.00,IM-3002590000-202201,never_retired,,not_applicable,,not_applicable,,
IMR-3002900010-201701,3002.90.00.10,IM-3002901010-198801,analyst,the analyst rejected the proposal and named 3002.49.00.20 instead,no,,yes,reject_named,
IMR-3002900011-199801,3002.90.00.11,IM-3002901010-198801,analyst;official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017 | the analyst rejected the proposal and named 3002.49.00.20 instead",yes,yes,yes,decided;reject_named,
IMR-3002900012-200003,3002.90.00.12,IM-3002901010-198801,analyst;official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017 | the analyst rejected the proposal and named 3002.49.00.20 instead",yes,yes,yes,decided;reject_named,
IMR-3002900019-199801,3002.90.00.19,IM-3002901010-198801,analyst;official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017 | the analyst rejected the proposal and named 3002.49.00.20 instead",yes,yes,yes,decided;reject_named,
IMR-3002900020-199801,3002.90.00.20,IM-3002901020-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002900020-202201,3002.90.00.20,IM-3002900020-202201,never_retired,,not_applicable,,not_applicable,,
IMR-3002900030-199802,3002.90.00.30,IM-3002901040-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002900040-201701,3002.90.00.40,IM-3002909020-199104,never_retired,,not_applicable,,not_applicable,,
IMR-3002900050-201701,3002.90.00.50,IM-3002900050-201701,analyst,the analyst accepted the proposal,no,,yes,approve,
IMR-3002900090-201701,3002.90.00.90,IM-3002901020-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002900090-202201,3002.90.00.90,IM-3002901020-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002900091-199801,3002.90.00.91,IM-3002901020-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002900091-200201,3002.90.00.91,IM-3002901020-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002900092-199801,3002.90.00.92,IM-3002909020-199104,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002900093-199802,3002.90.00.93,IM-3002901020-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002900099-199801,3002.90.00.99,IM-3002901020-198801,analyst,the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3002900099-201201,3002.90.00.99,IM-3002901020-198801,analyst,the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3002901010-198801,3002.90.10.10,IM-3002901010-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017 | the analyst rejected the proposal and named 3002.49.00.20 instead",yes,yes,yes,approve;decided;reject_named,
IMR-3002901011-199701,3002.90.10.11,IM-3002901010-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017 | the analyst rejected the proposal and named 3002.49.00.20 instead",yes,yes,yes,approve;decided;reject_named,
IMR-3002901019-199701,3002.90.10.19,IM-3002901010-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017 | the analyst rejected the proposal and named 3002.49.00.20 instead",yes,yes,yes,approve;decided;reject_named,
IMR-3002901020-198801,3002.90.10.20,IM-3002901020-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002901030-198801,3002.90.10.30,IM-3002901020-198801,analyst,the analyst rejected the proposal and named 3002.90.00.99 instead | the analyst accepted the proposal,yes,yes,yes,approve;reject_named,
IMR-3002901040-198801,3002.90.10.40,IM-3002901040-198801,analyst,the analyst accepted the proposal,no,,no,approve,
IMR-3002909010-198801,3002.90.90.10,IM-3002901020-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002909020-199104,3002.90.90.20,IM-3002909020-199104,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002909030-199004,3002.90.90.30,IM-3002901020-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
