uid,orig_commodity,orig_hs_code,orig_description,orig_first_period,orig_last_period,family_id,latest_commodity,latest_hs_code,latest_description,latest_status,v1_uid,v1_family_id
IMR-3002410010-202201,"3002.41.00.10 - Vaccines, for against influenza virus, human medicine",3002.41.00.10,"Vaccines, for against influenza virus, human medicine",2022-01,2026-06,IM-3002200010-198802,"3002.41.00.10 - Vaccines, for against influenza virus, human medicine",3002.41.00.10,"Vaccines, for against influenza virus, human medicine",active,IMR_0060,IM_0032
IMR-3002410090-202201,"3002.41.00.90 - Vaccines, o/t for against influenza virus, human medicine, nes",3002.41.00.90,"Vaccines, other than for against influenza virus, human medicine, not elsewhere specified",2022-01,2026-06,IM-3002200020-198801,"3002.41.00.90 - Vaccines, o/t for against influenza virus, human medicine, nes",3002.41.00.90,"Vaccines, other than for against influenza virus, human medicine, not elsewhere specified",active,IMR_0061,IM_0033
IMR-3002420010-202201,3002.42.00.10 - Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepared for parenteral administration;bovi intrnsl vacc,2022-01,2026-06,IM-3002391000-198801,3002.42.00.10 - Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepared for parenteral administration;bovi intrnsl vacc,active,IMR_0062,IM_0036
IMR-3002420090-202201,"3002.42.00.90 - Vaccines, veterinary use, nes",3002.42.00.90,"Vaccines, veterinary use, not elsewhere specified",2022-01,2026-06,IM-3002310000-198801,"3002.42.00.90 - Vaccines, veterinary use, nes",3002.42.00.90,"Vaccines, veterinary use, not elsewhere specified",active,IMR_0063,IM_0037
IMR-3002490010-202201,"3002.49.00.10 - Cultures, of micro-organisms (excluding yeasts) and similar products",3002.49.00.10,"Cultures, of micro-organisms (excluding yeasts) and similar products",2022-01,2026-06,IM-3002900050-201701,"3002.49.00.10 - Cultures, of micro-organisms (excluding yeasts) and similar products",3002.49.00.10,"Cultures, of micro-organisms (excluding yeasts) and similar products",active,IMR_0064,IM_0042
IMR-3002490020-202201,3002.49.00.20 - Toxins and similar products,3002.49.00.20,Toxins and similar products,2022-01,2026-06,IM-3002901010-198801,3002.49.00.20 - Toxins and similar products,3002.49.00.20,Toxins and similar products,active,IMR_0065,IM_0043
IMR-3002490090-202201,"3002.49.00.90 - Vaccines,toxins,cultures of micro-organisms (excl yeasts) & similar products,nes",3002.49.00.90,"Vaccines,toxins,cultures of micro-organisms (excl yeasts) & similar products,not elsewhere specified",2022-01,2026-06,IM-3002490090-202201,"3002.49.00.90 - Vaccines,toxins,cultures of micro-organisms (excl yeasts) & similar products,nes",3002.49.00.90,"Vaccines,toxins,cultures of micro-organisms (excl yeasts) & similar products,not elsewhere specified",active,IMR_0066,IM_0018
IMR-3002510000-202201,"3002.51.00.00 - Cell therapy products, whether or not modified",3002.51.00.00,"Cell therapy products, whether or not modified",2022-01,2026-06,IM-3002510000-202201,"3002.51.00.00 - Cell therapy products, whether or not modified",3002.51.00.00,"Cell therapy products, whether or not modified",active,IMR_0067,IM_0045
IMR-3002590000-202201,"3002.59.00.00 - Cell cultures, whether or not modified, nes",3002.59.00.00,"Cell cultures, whether or not modified, not elsewhere specified",2022-01,2026-06,IM-3002590000-202201,"3002.59.00.00 - Cell cultures, whether or not modified, nes",3002.59.00.00,"Cell cultures, whether or not modified, not elsewhere specified",active,IMR_0068,IM_0046
IMR-3002900010-201701,"3002.90.00.10 - Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates (Terminated 2021-12)",3002.90.00.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",2017-01,2021-12,IM-3002901010-198801,3002.49.00.20 - Toxins and similar products,3002.49.00.20,Toxins and similar products,active,IMR_0069,IM_0047
IMR-3002900011-199801,3002.90.00.11 - Ricin (Terminated 2016-12),3002.90.00.11,Ricin,1998-01,2016-09,IM-3002901010-198801,3002.49.00.20 - Toxins and similar products,3002.49.00.20,Toxins and similar products,active,IMR_0070,IM_0043
