flow,v1_uid,v1_family_id,v1_hs_code,v1_first_period,v1_last_period,v1_description,v2_record_id,v2_family_id,v2_hs_code,v2_first_period,v2_last_period,matched_on,note
exports,EXR_0061,EX_0043,3004.90.00,201701,201712,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30049000-201701,EX-30049010-198801,3004.90.00,201701,201712,code and first month,
exports,EXR_0062,EX_0044,3004.90.10,201802,202602,"Medicaments containing cannabis/cannabinoids, therapeutic/prophylactic uses, doses/pack for retail sale",EXR-30049010-201802,EX-30049010-201802,3004.90.10,201802,202606,code and first month,
exports,EXR_0063,EX_0043,3004.90.90,201801,202602,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30049090-201801,EX-30049010-198801,3004.90.90,201801,202606,code and first month,
exports,EXR_0064,EX_0045,3005.10.00,200001,202602,Dressings and other articles having an adhesive layer,EXR-30051000-198801,EX-30051000-198801,3005.10.00,198801,202606,code alone,
exports,EXR_0065,EX_0046,3005.90.00,200001,202602,"Dressings & similar articles,impregnated or coated or packaged for Medicaments use, not elsewhere specified",EXR-30059000-198801,EX-30059000-198801,3005.90.00,198801,202606,code alone,
exports,EXR_0066,EX_0047,3006.10.00,200201,202602,"Sterile suture material;sterile laminaria;sterile absorbable haemostatics;surgical/dental,etc",EXR-30061000-200201,EX-30061000-198801,3006.10.00,200201,202606,code and first month,
exports,EXR_0067,EX_0047,3006.10.00,200003,200106,"Suture materials,sterile;laminaria, sterile;haemostatics,sterile,surgical or dental",EXR-30061000-198801,EX-30061000-198801,3006.10.00,198801,200106,code and last month,
exports,EXR_0068,EX_0048,3006.20.00,200002,202112,Blood-grouping reagents,EXR-30062000-198801,EX-30062000-198801,3006.20.00,198801,202112,code and last month,
exports,EXR_0069,EX_0049,3006.30.00,200001,202602,"Opacifying preparation, x-ray; diagnostic reagents, designed for administration to patients",EXR-30063000-198801,EX-30063000-198801,3006.30.00,198801,202606,code alone,
exports,EXR_0070,EX_0050,3006.40.00,200001,202602,Dental cements & other dental fillings; bone reconstruction cements,EXR-30064000-198801,EX-30064000-198801,3006.40.00,198801,202606,code alone,
exports,EXR_0071,EX_0051,3006.50.00,200001,202602,First-aid boxes and kits,EXR-30065000-198801,EX-30065000-198801,3006.50.00,198801,202606,code alone,
exports,EXR_0072,EX_0052,3006.60.00,200201,202602,"Chem contraceptive preparations,based on hormones/other prod of No 29.37/spermicides",EXR-30066000-200201,EX-30066000-198801,3006.60.00,200201,202606,code and first month,
exports,EXR_0073,EX_0052,3006.60.00,200001,200112,"Contraceptive preparation based on hormones, on other prod of No 29.37 or spermicides",EXR-30066000-198801,EX-30066000-198801,3006.60.00,198801,200112,code and last month,
exports,EXR_0074,EX_0053,3006.70.00,200205,202602,"Gel preparation for human/veterinary medicine as lub for parts of body for oper/examination,etc",EXR-30067000-200205,EX-30067000-200205,3006.70.00,200205,202606,code and first month,
exports,EXR_0075,EX_0054,3006.80.00,200209,200612,Waste pharmaceuticals,EXR-30068000-200209,EX-30068000-200209,3006.80.00,200209,200612,code and first month,
exports,EXR_0076,EX_0055,3006.91.00,200703,202602,Appliances identifiable for ostomy use,EXR-30069100-200702,EX-30069100-200702,3006.91.00,200702,202606,code alone,
exports,EXR_0077,EX_0054,3006.92.00,200703,202602,"Waste pharmaceuticals, not elsewhere specified",EXR-30069200-200703,EX-30068000-200209,3006.92.00,200703,202606,code and first month,
exports,EXR_0078,EX_0056,3006.93.00,202201,202602,"Placebos,blinded or double blinded clinical trial kits, put up in measured doses",EXR-30069300-202201,EX-30069300-202201,3006.93.00,202201,202606,code and first month,
exports,,,,,,,EXR-30023100-198801,EX-30023100-198801,3002.31.00,198801,199512,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30023900-198801,EX-30023100-198801,3002.39.00,198801,199512,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30029000-198901,EX-30029010-198801,3002.90.00,198901,199612,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30029010-198801,EX-30029010-198801,3002.90.10,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30029020-198801,EX-30029010-198801,3002.90.20,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30033100-198801,EX-30033100-198801,3003.31.00,198801,199304,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30041010-198801,EX-30041010-198801,3004.10.10,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30041020-198801,EX-30041010-198801,3004.10.20,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30042010-198801,EX-30042010-198801,3004.20.10,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30042020-198801,EX-30042010-198801,3004.20.20,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30043100-198803,EX-30043100-198803,3004.31.00,198803,199909,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30043210-198801,EX-30043210-198801,3004.32.10,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30043220-198802,EX-30043210-198801,3004.32.20,198802,198811,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30043910-198801,EX-30043910-198801,3004.39.10,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30043920-198801,EX-30043910-198801,3004.39.20,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30045010-198801,EX-30045010-198801,3004.50.10,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30045020-198801,EX-30045010-198801,3004.50.20,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30049010-198801,EX-30049010-198801,3004.90.10,198801,198812,,new in v2; the release did not hold this commodity string
exports,,,,,,,EXR-30049020-198801,EX-30049010-198801,3004.90.20,198801,198812,,new in v2; the release did not hold this commodity string
